"REF_DATE","GEO","DGUID","Wages","Type of work","North American Industry Classification System (NAICS)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","673.20","","","","2"
"2008","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","700.00","","","","2"
"2009","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","720.00","","","","2"
"2010","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","727.50","","","","2"
"2011","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","743.20","","","","2"
"2012","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","768.00","","","","2"
"2013","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","770.00","","","","2"
"2014","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","799.88","","","","2"
"2015","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","807.60","","","","2"
"2016","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","820.40","","","","2"
"2017","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","840.00","","","","2"
"2018","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","865.26","","","","2"
"2019","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","900.00","","","","2"


